Date,Close/Last,Volume,Open,High,Low
07/11/2023,$55.74,4597127,$55.00,$55.86,$54.88
07/10/2023,$54.87,3238466,$53.27,$54.88,$53.22
07/07/2023,$53.53,5404221,$53.92,$54.52,$53.47
07/06/2023,$53.80,3596194,$53.65,$54.325,$53.34
07/05/2023,$54.21,2639962,$54.08,$54.675,$53.86
07/03/2023,$54.61,1828579,$54.00,$54.78,$53.74
06/30/2023,$54.11,5182432,$53.94,$54.61,$53.76
06/29/2023,$53.10,4033421,$52.00,$53.15,$51.80
06/28/2023,$51.77,2946842,$51.03,$51.92,$50.91
06/27/2023,$51.39,3496000,$51.32,$51.57,$50.85
06/26/2023,$51.32,3404548,$51.12,$51.58,$50.721
06/23/2023,$50.87,18291800,$50.59,$51.66,$50.51
06/22/2023,$51.28,6326781,$49.84,$51.44,$49.76
06/21/2023,$50.06,5943345,$49.88,$50.59,$49.405
06/20/2023,$49.33,4213507,$49.51,$49.58,$48.74
06/16/2023,$49.67,9363258,$50.195,$50.30,$49.53
06/15/2023,$50.20,3216611,$49.35,$50.46,$49.175
06/14/2023,$49.38,4013664,$48.63,$49.69,$48.63
06/13/2023,$48.80,2805666,$48.28,$48.82,$48.25
06/12/2023,$48.07,3596854,$47.72,$48.12,$47.615
06/09/2023,$47.61,3293572,$48.09,$48.67,$47.59
06/08/2023,$47.89,3976290,$47.99,$48.10,$47.20
06/07/2023,$47.66,4095959,$46.86,$47.779,$46.77
06/06/2023,$46.85,5466201,$45.38,$47.08,$45.16
06/05/2023,$45.48,5765686,$47.26,$47.58,$45.30
06/02/2023,$47.27,7914735,$45.50,$47.8448,$45.37
06/01/2023,$45.46,14458270,$45.005,$47.50,$44.71
05/31/2023,$44.81,9937448,$45.98,$46.17,$44.45
05/30/2023,$47.32,5464420,$48.79,$49.10,$47.17
05/26/2023,$48.51,4297112,$48.15,$48.55,$47.48
05/25/2023,$48.08,4081727,$46.80,$48.32,$46.555
05/24/2023,$45.91,3230722,$46.06,$46.06,$45.25
05/23/2023,$46.35,4141058,$47.34,$47.60,$46.34
05/22/2023,$47.54,3805579,$46.75,$47.94,$46.37
05/19/2023,$47.75,5111045,$47.36,$48.19,$47.36
05/18/2023,$47.12,3923440,$45.77,$47.31,$45.65
05/17/2023,$45.85,2404596,$45.80,$46.17,$45.24
05/16/2023,$45.38,3910213,$44.84,$46.13,$44.675
05/15/2023,$44.93,2996359,$44.80,$44.995,$44.445
05/12/2023,$44.76,2397273,$44.72,$44.80,$44.19
05/11/2023,$44.70,3737472,$45.62,$45.71,$44.48
05/10/2023,$45.83,3062185,$46.42,$46.56,$45.445
05/09/2023,$45.98,3220612,$46.09,$46.215,$45.265
05/08/2023,$46.02,3888001,$45.52,$46.185,$45.17
05/05/2023,$45.39,3699659,$44.74,$45.795,$44.61
05/04/2023,$44.18,3549730,$45.03,$45.15,$44.085
05/03/2023,$45.16,5124861,$45.05,$45.745,$44.795
05/02/2023,$44.76,6777968,$45.01,$45.65,$43.88
05/01/2023,$43.82,4516203,$43.49,$44.109,$43.385
04/28/2023,$43.49,3792385,$42.90,$43.635,$42.815
04/27/2023,$42.80,2988541,$41.825,$42.81,$41.79
04/26/2023,$41.67,2501488,$41.75,$42.19,$41.465
04/25/2023,$41.71,2395956,$42.60,$42.67,$41.70
04/24/2023,$42.68,2814398,$42.70,$42.87,$42.365
04/21/2023,$43.11,4905007,$42.73,$43.14,$42.52
04/20/2023,$42.92,4489175,$43.41,$43.57,$42.75
04/19/2023,$43.83,7267044,$44.47,$45.31,$43.82
04/18/2023,$45.50,9277745,$44.24,$45.65,$44.20
04/17/2023,$43.93,6329647,$42.75,$43.995,$42.71
04/14/2023,$43.28,7116928,$42.74,$43.73,$42.69
04/13/2023,$42.65,4411866,$41.96,$42.765,$41.762
04/12/2023,$41.87,3519191,$41.80,$41.99,$41.15
04/11/2023,$41.60,2897808,$41.42,$41.945,$41.40
04/10/2023,$41.43,3470222,$39.90,$41.44,$39.90
04/06/2023,$40.23,2186483,$40.59,$40.79,$40.225
04/05/2023,$40.80,3046654,$40.73,$41.13,$40.34
04/04/2023,$40.87,3749333,$41.24,$41.35,$40.49
04/03/2023,$40.97,4756258,$40.14,$41.15,$40.06
03/31/2023,$40.21,3915755,$39.94,$40.39,$39.935
03/30/2023,$39.86,4139649,$39.47,$39.95,$39.44
03/29/2023,$39.12,3746590,$38.90,$39.24,$38.64
03/28/2023,$38.31,3981934,$37.88,$38.32,$37.56
03/27/2023,$37.99,3018936,$37.79,$38.155,$37.63
03/24/2023,$37.38,4261601,$37.63,$37.68,$36.81
03/23/2023,$37.82,3215967,$38.32,$38.61,$37.38
03/22/2023,$38.08,3286304,$39.22,$39.48,$38.05
03/21/2023,$39.15,3619390,$39.00,$39.35,$38.735
03/20/2023,$38.55,5994133,$37.59,$38.84,$37.49
03/17/2023,$37.22,13488370,$37.86,$38.19,$36.875
03/16/2023,$38.05,5952214,$36.52,$38.11,$36.45
03/15/2023,$37.51,5072606,$36.92,$38.13,$36.85
03/14/2023,$37.55,4433854,$37.49,$38.295,$37.16
03/13/2023,$36.57,5580849,$36.17,$36.82,$35.96
03/10/2023,$36.72,3661893,$37.67,$37.7399,$36.285
03/09/2023,$37.80,2731224,$38.58,$38.92,$37.72
03/08/2023,$38.77,3010007,$38.20,$38.80,$38.03
03/07/2023,$38.00,4812983,$39.12,$39.53,$37.99
03/06/2023,$39.07,5330225,$40.26,$40.31,$39.07
03/03/2023,$39.79,7775747,$39.06,$40.99,$38.82
03/02/2023,$40.17,9094204,$40.20,$40.25,$38.895
03/01/2023,$40.44,7083437,$40.84,$40.95,$39.97
02/28/2023,$40.64,7672583,$40.86,$41.675,$40.51
02/27/2023,$41.00,5148218,$42.13,$42.19,$40.871
02/24/2023,$41.61,3712849,$41.32,$41.80,$41.11
02/23/2023,$42.03,3414212,$42.20,$42.43,$41.4373
02/22/2023,$41.81,2240581,$42.06,$42.2601,$41.60
02/21/2023,$41.89,3973160,$41.91,$42.44,$41.69
02/17/2023,$42.48,2728395,$42.59,$42.97,$42.32
02/16/2023,$42.72,2961076,$42.47,$43.72,$42.34
02/15/2023,$42.80,2139952,$42.55,$43.05,$42.47
02/14/2023,$43.03,2277181,$43.25,$43.80,$42.93
02/13/2023,$43.40,3705241,$42.81,$43.82,$42.64
02/10/2023,$42.72,3964177,$41.88,$43.25,$41.72
02/09/2023,$42.04,2878379,$42.60,$42.97,$41.915
02/08/2023,$41.84,2643279,$41.68,$42.24,$41.57
02/07/2023,$41.99,3268817,$40.86,$42.195,$40.795
02/06/2023,$40.96,4299348,$42.18,$42.18,$40.3101
02/03/2023,$42.24,2936717,$41.96,$42.78,$41.70
02/02/2023,$42.42,4623225,$41.50,$43.08,$41.485
02/01/2023,$41.23,3476465,$40.50,$41.44,$40.34
01/31/2023,$40.62,2562550,$39.95,$40.62,$39.50
01/30/2023,$40.01,2444028,$39.96,$40.41,$39.84
01/27/2023,$40.31,2677282,$40.70,$41.17,$40.30
01/26/2023,$40.99,1645296,$40.95,$41.05,$40.22
01/25/2023,$40.52,2705810,$40.00,$40.78,$39.775
01/24/2023,$40.59,1903050,$40.20,$41.07,$40.11
01/23/2023,$41.04,2745210,$40.76,$41.62,$40.59
01/20/2023,$40.26,2908047,$39.85,$40.29,$39.3998
01/19/2023,$39.46,3341651,$39.42,$39.86,$39.03
01/18/2023,$40.02,2757552,$40.27,$40.50,$39.69
01/17/2023,$40.03,2691621,$40.13,$40.19,$39.45
01/13/2023,$40.18,3383656,$39.36,$40.21,$38.99
